Task,Model,Prompt Length,Quantization,Bites,Device
Text Generation,phi-2-GGUF,Short,Q4_K,4,Low-range
Text Generation,phi-2-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,phi-2-GGUF,Short,Q5_K,5,Mid-range
Text Generation,phi-2-GGUF,Short,Q5_K_M,5,flagship
Text Generation,phi-2-GGUF,Short,Q6_K,6,flagship
Text Generation,phi-2-GGUF,Medium,Q4_0,4,Low-range
Text Generation,phi-2-GGUF,Medium,Q4_K,4,Low-range
Text Generation,phi-2-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,phi-2-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,phi-2-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,phi-2-GGUF,Medium,Q6_K,6,flagship
Text Generation,phi-2-GGUF,Long,Q4_0,4,Low-range
Text Generation,phi-2-GGUF,Long,Q4_K,4,Low-range
Text Generation,phi-2-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,phi-2-GGUF,Long,Q5_K,5,Mid-range
Text Generation,phi-2-GGUF,Long,Q5_K_M,5,flagship
Text Generation,phi-2-GGUF,Long,Q6_K,6,flagship
Text Generation,phi-2-GGUF,Short,Q4_0,4,Low-range
Text Generation,phi-2-GGUF,Short,Q4_K,4,Low-range
Text Generation,phi-2-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,phi-2-GGUF,Short,Q5_K,5,Mid-range
Text Generation,phi-2-GGUF,Short,Q5_K_M,5,flagship
Text Generation,phi-2-GGUF,Short,Q6_K,6,flagship
Text Generation,phi-2-GGUF,Medium,Q4_0,4,Low-range
Text Generation,phi-2-GGUF,Medium,Q4_K,4,Low-range
Text Generation,phi-2-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,phi-2-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,phi-2-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,phi-2-GGUF,Medium,Q6_K,6,flagship
Text Generation,phi-2-GGUF,Long,Q4_0,4,Low-range
Text Generation,phi-2-GGUF,Long,Q4_K,4,Low-range
Text Generation,phi-2-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,phi-2-GGUF,Long,Q5_K,5,Mid-range
Text Generation,phi-2-GGUF,Long,Q5_K_M,5,flagship
Text Generation,phi-2-GGUF,Long,Q6_K,6,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_0,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K,5,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K_M,5,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q6_K,6,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_0,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q6_K,6,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_0,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K,5,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K_M,5,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q6_K,6,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_0,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K,5,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K_M,5,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q6_K,6,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_0,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q6_K,6,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_0,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K,5,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K_M,5,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q6_K,6,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_0,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K,5,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K_M,5,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q6_K,6,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_0,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q6_K,6,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_0,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K,5,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K_M,5,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q6_K,6,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_0,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K,5,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q5_K_M,5,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Short,Q6_K,6,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_0,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Medium,Q6_K,6,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_0,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K,4,Low-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K,5,Mid-range
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q5_K_M,5,flagship
Text Generation,TinyLLaMA-1.1B-Chat-v1.0-GGUF,Long,Q6_K,6,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_0,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K,5,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K_M,5,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q6_K,6,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_0,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_K,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q6_K,6,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_0,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_K,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q5_K,5,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q5_K_M,5,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q6_K,6,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_0,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K,5,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K_M,5,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q6_K,6,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_0,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_K,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q6_K,6,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_0,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_K,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q5_K,5,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q5_K_M,5,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q6_K,6,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_0,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K,5,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K_M,5,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q6_K,6,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_0,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_K,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q6_K,6,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_0,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_K,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q5_K,5,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q5_K_M,5,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q6_K,6,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_0,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K,5,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q5_K_M,5,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Short,Q6_K,6,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_0,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_K,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Medium,Q6_K,6,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_0,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_K,4,Low-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q5_K,5,Mid-range
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q5_K_M,5,flagship
Text Generation,stablelm-3b-tuned-alpha-GGUF,Long,Q6_K,6,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q4_0,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q4_K,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q5_K,5,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q5_K_M,5,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q6_K,6,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q4_0,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q4_K,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q6_K,6,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q4_0,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q4_K,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q5_K,5,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q5_K_M,5,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q6_K,6,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q4_0,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q4_K,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q5_K,5,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q5_K_M,5,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q6_K,6,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q4_0,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q4_K,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q6_K,6,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q4_0,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q4_K,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q5_K,5,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q5_K_M,5,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q6_K,6,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q4_0,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q4_K,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q5_K,5,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q5_K_M,5,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q6_K,6,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q4_0,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q4_K,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q6_K,6,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q4_0,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q4_K,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q5_K,5,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q5_K_M,5,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q6_K,6,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q4_0,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q4_K,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q5_K,5,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q5_K_M,5,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Short,Q6_K,6,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q4_0,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q4_K,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Medium,Q6_K,6,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q4_0,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q4_K,4,Low-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q5_K,5,Mid-range
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q5_K_M,5,flagship
Text Generation,Mistral-7B-Instruct-v0.2-GGUF,Long,Q6_K,6,flagship
Text Generation,Gemma-7B-it-GGUF,Short,Q4_0,4,Low-range
Text Generation,Gemma-7B-it-GGUF,Short,Q4_K,4,Low-range
Text Generation,Gemma-7B-it-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,Gemma-7B-it-GGUF,Short,Q5_K,5,Mid-range
Text Generation,Gemma-7B-it-GGUF,Short,Q5_K_M,5,flagship
Text Generation,Gemma-7B-it-GGUF,Short,Q6_K,6,flagship
Text Generation,Gemma-7B-it-GGUF,Medium,Q4_0,4,Low-range
Text Generation,Gemma-7B-it-GGUF,Medium,Q4_K,4,Low-range
Text Generation,Gemma-7B-it-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,Gemma-7B-it-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,Gemma-7B-it-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,Gemma-7B-it-GGUF,Medium,Q6_K,6,flagship
Text Generation,Gemma-7B-it-GGUF,Long,Q4_0,4,Low-range
Text Generation,Gemma-7B-it-GGUF,Long,Q4_K,4,Low-range
Text Generation,Gemma-7B-it-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,Gemma-7B-it-GGUF,Long,Q5_K,5,Mid-range
Text Generation,Gemma-7B-it-GGUF,Long,Q5_K_M,5,flagship
Text Generation,Gemma-7B-it-GGUF,Long,Q6_K,6,flagship
Text Generation,Gemma-7B-it-GGUF,Short,Q4_0,4,Low-range
Text Generation,Gemma-7B-it-GGUF,Short,Q4_K,4,Low-range
Text Generation,Gemma-7B-it-GGUF,Short,Q4_K_M,4,Mid-range
Text Generation,Gemma-7B-it-GGUF,Short,Q5_K,5,Mid-range
Text Generation,Gemma-7B-it-GGUF,Short,Q5_K_M,5,flagship
Text Generation,Gemma-7B-it-GGUF,Short,Q6_K,6,flagship
Text Generation,Gemma-7B-it-GGUF,Medium,Q4_0,4,Low-range
Text Generation,Gemma-7B-it-GGUF,Medium,Q4_K,4,Low-range
Text Generation,Gemma-7B-it-GGUF,Medium,Q4_K_M,4,Mid-range
Text Generation,Gemma-7B-it-GGUF,Medium,Q5_K,5,Mid-range
Text Generation,Gemma-7B-it-GGUF,Medium,Q5_K_M,5,flagship
Text Generation,Gemma-7B-it-GGUF,Medium,Q6_K,6,flagship
Text Generation,Gemma-7B-it-GGUF,Long,Q4_0,4,Low-range
Text Generation,Gemma-7B-it-GGUF,Long,Q4_K,4,Low-range
Text Generation,Gemma-7B-it-GGUF,Long,Q4_K_M,4,Mid-range
Text Generation,Gemma-7B-it-GGUF,Long,Q5_K,5,Mid-range
Text Generation,Gemma-7B-it-GGUF,Long,Q5_K_M,5,flagship
Text Generation,Gemma-7B-it-GGUF,Long,Q6_K,6,flagship
Text Generation,Gemma-7B-it-GGUF,Short,Q4_0,4,Low-range
